name,season,number,airdate,rating,summary,image_url
A Competitive Edge,2,20,1992-01-23,8.0,"Brandon joins the track team, bumping Steve from the sprint relay. Many of his teammates dislike Brandon because he wrote negative articles about the football team. Brandon considers quitting the paper because he is tired of tearing people apart. Several of the athletes are taking steroids to improve their performance. They ask Steve to participate in their """"program,"""" which causes him to develop mood swings. Brandon and Andrea decide to conduct an investigation, and Kelly's friend Kyle provides them with details. The track coach cancels all practices until the steroid users come forward. The other guys suspect that Steve was Brandon's source, and threaten to beat him up unless he takes the rap. Brandon allows Brenda to drive his car, but she gets into an accident. The other driver claims to have developed whiplash, and files a lawsuit. Brenda foils her plans when she catches her dancing in her living room.

Music: """"Dancing in the Street"""" by The Mamas and the Papas (?)",https://image.tmdb.org/t/p/original//xYS7y1wm5wyRR4jBGDJ5zS1oXFx.jpg
Everybody's Talkin' `Bout It,2,21,1992-02-06,10.0,Andrea is outraged when the school refuses to allow students to take part in a health survey that includes questions about sex. She goes before the school board and introduces a proposal to distribute condoms at West Beverly.,https://image.tmdb.org/t/p/original//aRpuV50nR8tSe9hYzPJK36WEt3O.jpg
Baby Makes Five,2,22,1992-02-13,8.0,"Kelly confides in Brenda and Donna about her mother's pregnancy, but they can't keep a secret. David tells Donna that Mel is planning to propose, then learns about the pregnancy. He doesn't share the news with his father, who is clueless about Jackie's condition. Jackie assumes that Mel only wants to marry her to fulfill his obligation, so she dumps him.  Music: """"All 4 Love"""" by Color Me Badd (#1, 1992);",https://image.tmdb.org/t/p/original//r8xvmCeR0mHN1EKTlj7WVgWNbmF.jpg
Cardio Funk,2,23,1992-02-27,0.0,"Dylan's friend Sarah comes to an AA meeting. He offers his support, and she begins to rely on him. She seeks his help in throwing her abusive boyfriend out of the apartment.  Music: """"We Want the Funk"""" by Gerardo (#16, 1991); """"Do Wah Diddy Diddy"""" (Manfred Mann - #1, 1964), performed by the cast; """"Your Cheatin' Heart"""" (Hank Williams), performed by Patricia Michel; """"Be Bop-a-Lul",https://image.tmdb.org/t/p/original//d0dh88fMFOLedgL3xV3dW5Lxlms.jpg
The Pit and the Pendulum,2,24,1992-03-19,10.0,"Brandon participates in a teen review committee that provides input to one of Jim's clients, who is building a gigantic new mall. Marcie, the developer's college-age daughter, aggressively pursues Brandon. Brandon is incensed to learn that the project would require the demolition of the Peach Pit. He squares off with Jim, who promises to stand up for Nat's interests. Brandon takes Marcie to the Peach Pit in the hopes of gaining her support, but realizes that she only cares about her father and his business. The gang (except Brenda) tries to stage a rally, but Nat has already agreed to sell. Brandon becomes jaded, and refuses to listen when Jim explains the financial realities associated with adulthood. The deal eventually falls through, allowing Nat to keep the Peach Pit.",https://image.tmdb.org/t/p/original//sYi4lRXHn1uDmO8ovp6J8lqjuS7.jpg
Meeting Mr. Pony,2,25,1992-04-02,8.0,"The gang stays at the Peach Pit after hours to study for midterms. Brenda is left alone while Brandon and Dylan take out the recycling. A gunman enters through the unlocked door, holds a rifle to her head, and forces her to empty the cash register. Brenda puts on a brave front for family and friends, but suffers nightmares and behaves erratically. She has a flashback during a midterm, screams, and runs out of the classroom. A psychiatrist helps her begin to deal with her fears. Brenda reluctantly views a police line-up, resulting in the arrest of the 17-year-old gunman.

Music: """"Let the Good Times Roll"""" by Shirley & Lee (#20, 1956)",https://image.tmdb.org/t/p/original//iUazHhzBmagX5D8lt83G9K0krS2.jpg
Things to Do on a Rainy Day,2,26,1992-04-23,0.0,"On a rainy Saturday afternoon, Brenda, Kelly, Donna and David head to the Bel Age Hotel to meet Donna's favorite pop group, Color Me Badd. David rents a room so that the foursome can get into the hotel. Donna sees her mother, supposedly at the hotel for a conference, and fears that she will get in trouble. Kelly lifts a key to the penthouse and gets to hang out with the group. Donna, fearing reprisal, jumps out of the elevator on an earlier floor. She sees her mother come out of a room and kiss a man in the hallway. When Felice later confronts Donna about being at the hotel, Donna forces her to admit that she is having an affair. Donna is devastated, but Cindy explains that her parents' marital problems do not have anything to do with her. Kelly attends the Color Me Badd concert with a free pass, and brings the group to the Peach Pit to serenade Donna. Steve, Brandon and Dylan hire a stripper, but their plans are complicated when Andrea shows up at the house. The stripper turns out to",https://image.tmdb.org/t/p/original//9MzYY31p9DTYgl5lgInfIZfaJwa.jpg
Mexican Standoff,2,27,1992-04-30,0.0,"Brenda upsets her father by consistently violating her curfew. She promises to demonstrate more mature behavior. Jim and Cindy agree to let Brenda join Dylan for a weekend in Mexico. Brenda falls asleep while watching a movie at Dylan's, and doesn't come home until 4 AM. Her parents forbid her from taking the trip. Dylan encourages Brenda to stand up for herself, but she instead tells Jim and Cindy that she is spending the weekend at Kelly's house. Brenda pushes Dylan away when she discovers that he took a girl to Baja during their summer separation. They soon make up, but run into problems with customs. Brenda does not have any identification because she has yet to replace her stolen license. In order to re-enter the country, she must call Jim and have him come vouch for her. Dylan's older friend, Jake Hanson, is hired to build a wedding canopy for Jackie. His presence cheers Kelly, who had been in a funk about the wedding and her new family. Jake and Kelly have dinner together and sh",https://image.tmdb.org/t/p/original//tckhHO8pQaURui12GHtLS37lEtQ.jpg
Wedding Bell Blues,2,28,1992-05-07,10.0,"A furious Jim goes to the Mexican border to retrieve Brenda. Jim bans Dylan from the Walsh house. Jackie learns that Kelly covered for Brenda, and embarrasses her by yelling at her in front of Jake.

Music: """"Wedding Bell Blues"""" by The Fifth Dimension (#1, 1969); """"Blue Moon"""" (Glen Gray - #1, 1",https://image.tmdb.org/t/p/original//oK7kgHSfHj2gqYekgtT26F7EHYZ.jpg
Misery Loves Company,3,1,1992-07-15,10.0,"Brenda drives her parents crazy with her constant sulking, and sneaks around with Dylan behind their backs. Dylan wants someone other than Jim to handle his trust, but Jim refuses to break his deal with Iris. Jim and Cindy join the beach club and catch Brenda making out with Dylan. Jim screams at Brenda and makes a scene. She packs up her belongings and moves in with Dylan. Brandon bets Steve that he cannot hold down a job for a week. Steve takes Brandon's position at the Peach Pit, as Brandon has left for his summer job at the club. Nat fires Steve because he is completely incompetent. Brandon is wary of Andrea's new job as a children's camp counselor at the beach club. However, she has gotten over her crush on him and is seeing a successful West Beverly alum. Donna's parents get back together. Jackie goes into labor.

Music: """"Summertime Blues"""" by Eddie Cochran (#8, 1958); """"Working in a Coal Mine"""" by Lee Dorsey (#8, 1966)",https://image.tmdb.org/t/p/original//8jb1DggdgZYtkiRdsJbH4Lgq7EM.jpg
"The Twins, the Trustee, and the Very Big Trip",3,2,1992-07-22,10.0,"Kelly bonds with her baby sister, Erin. She bows out of a six-week trip to study in Paris with Donna because she wants to spend time with her family. Brenda and Dylan clash over their new living arrangements. Cindy and Brandon realize that Brenda is unhappy, but she is too stubborn to give in. Jim threatens to freeze Dylan's account unless he helps convince Brenda to accept a trip to Paris. Dylan persuades Brenda to go because he believes it is a great opportunity for her. Jim makes amends with Brenda before she and Donna leave for Paris. Steve and Brandon get dates with visiting identical twins. Steve's date experiences a series of health problems (food poisoning, allergies), so he tries to dump her for her sister. The girls switch places to get revenge on him.",https://image.tmdb.org/t/p/original//t2VCjxAc9YAJN5drPp6aKi3j5Lq.jpg
"Too Little, Too Late/Paris 75001",3,3,1992-07-29,10.0,"Brenda and Donna have difficulty adjusting to life in France. Donna constantly complains about missing David, and Brenda soon begins to long for Dylan. They accidentally order brains at a restaurant, and Donna later spends an entire party eating pastries because she can't carry on a conversation in French. Andrea's boyfriend invites her to join him at the Republican Convention in Houston, where he is working for CNN. Brandon becomes jealous and kisses Andrea in an attempt to dissuade her from leaving. An outraged Andrea observes that Brandon is only interested in her because she has a boyfriend. Andrea decides to skip the convention because she is enjoying her work at the camp--especially with Cameron, a deaf boy whom she helped bring out of his shell. Jack goes up for parole, and asks Dylan to write a letter on his behalf. He reluctantly does this, but Jack's parole request is denied. Dylan and Kelly begin to flirt rather obviously.",https://image.tmdb.org/t/p/original//jbLPhu40H6gyGxmZaShxkXj5UkQ.jpg
